190,enclose,vt.,围住;把...装入信封,"en,clo,se",7
191,encounter,vt./n.,遭遇，遭到,"en,coun,ter",9
192,globe,n.,地球，世界;地球仪,"glo,be",5
193,global,a.,全球的;总的,"glo,bal",6
194,scan,vt.,细看;扫描;浏览,scan,4
195,scandal,n.,丑事，丑闻,"scan,dal",7
196,significance,n.,意义;重要性,"sig,ni,fi,can,ce",12
197,subsequent,a.,随后的，后来的,"sub,se,quent",10
198,virtue,n.,美德，优点,"vir, tue",6
199,virtual,a.,实际上的，事实上的,"vir,tual",7
200,orient,vt.,"使适应，(to,toward)使朝向","o,rient",6
,,,,0,
